MONUMENT_RECORD_NO,LATITUDE,LONGITUDE
1607M,51.459481,-2.5888881
1608M,51.459418,-2.5888441
1609M,51.459319,-2.5889436
540M,51.452761,-2.5930039
6M,51.448337,-2.5895649
715M,51.457905,-2.5912139
716M,51.457628,-2.5925632
786M,51.448482,-2.5874946
787M,51.448651,-2.586029
78M,51.456839,-2.5866664
790M,51.451543,-2.6009032
791M,51.451381,-2.600973
1592M,51.459377,-2.5915927
542M,51.452094,-2.5843605
544M,51.452891,-2.5975677
545M,51.455801,-2.5946984
546M,51.456069,-2.5968464
547M,51.456068,-2.596904
548M,51.456086,-2.5969618
549M,51.456095,-2.5970051
550M,51.456167,-2.5969916
551M,51.45615,-2.5968331
552M,51.456123,-2.5967176
872M,51.454459,-2.5969261
873M,51.453939,-2.5983585
874M,51.454974,-2.5964291
1586M,51.459824,-2.5904038
1587M,51.459971,-2.5897292
1588M,51.460297,-2.5892585
1776M,51.457851,-2.5525103
1777M,51.42405,-2.5859586
2217M,51.44455,-2.6177327
2218M,51.444896,-2.616874
2220M,51.439363,-2.6123826
2221M,51.442044,-2.6121595
2222M,51.441775,-2.6171629
2223M,51.440536,-2.6046002
2224M,51.445853,-2.6093038
244M,51.453606,-2.5984261
245M,51.451498,-2.6045148
3164M,51.459772,-2.5699066
762M,51.450352,-2.608601
3165M,51.457148,-2.5660166
3166M,51.455451,-2.5691763
3167M,51.466686,-2.5971721
5260M,51.453268,-2.5742294
5261M,51.453186,-2.5726165
5262M,51.453834,-2.5725239
5268M,51.455294,-2.5718801
5270M,51.453388,-2.5718707
5271M,51.452994,-2.5715348
5272M,51.454787,-2.5706793
5273M,51.453543,-2.569498
5274M,51.453525,-2.5695697
5275M,51.45394,-2.5674017
5278M,51.468268,-2.5919669
5282M,51.468299,-2.5911035
5283M,51.468245,-2.589476
5284M,51.468003,-2.5891562
5285M,51.467894,-2.5894283
5286M,51.468337,-2.5890885
5287M,51.467297,-2.5883985
5288M,51.467412,-2.5886879
5289M,51.467463,-2.5875081
5290M,51.467685,-2.5881444
5291M,51.46854,-2.5843835
199M,51.452693,-2.5851597
19M,51.451906,-2.5931655
1M,51.454929,-2.5928161
1594M,51.459246,-2.5891729
1595M,51.459218,-2.5892589
1596M,51.459262,-2.5894898
1597M,51.45936,-2.5895774
1620M,51.447463,-2.6195707
725M,51.456814,-2.586407
986M,51.453416,-2.5897023
987M,51.453192,-2.5896419
759M,51.446748,-2.6100639
760M,51.446886,-2.6008564
21M,51.451916,-2.5929786
763M,51.447539,-2.5819424
764M,51.44663,-2.5981191
765M,51.447908,-2.5942505
1481M,51.460662,-2.5917101
1482M,51.460635,-2.591753
1483M,51.460599,-2.5917957
2225M,51.44056,-2.6241389
2226M,51.445239,-2.5402136
3158M,51.440961,-2.6025339
3159M,51.440477,-2.6004845
3160M,51.472791,-2.5848554
3162M,51.459985,-2.5705858
3163M,51.459482,-2.572206
348M,51.455168,-2.5936252
349M,51.455186,-2.5936542
34M,51.455842,-2.590151
350M,51.455212,-2.5937121
351M,51.45523,-2.5937411
885M,51.457322,-2.5907602
886M,51.451775,-2.5941712
887M,51.456102,-2.5920541
888M,51.456869,-2.5915315
889M,51.456841,-2.5916319
736M,51.457437,-2.5859112
424M,51.456129,-2.5974373
59M,51.451806,-2.6005181
600M,51.455342,-2.5840998
601M,51.45615,-2.5841964
200M,51.452817,-2.5855354
202M,51.448816,-2.5853404
203M,51.456708,-2.6054472
204M,51.45653,-2.5908795
5107M,51.458901,-2.5733934
206M,51.451954,-2.587237
207M,51.451909,-2.587222
208M,51.451882,-2.5872073
209M,51.451837,-2.5872498
20M,51.451898,-2.5930791
210M,51.451819,-2.5871777
215M,51.45152,-2.5930598
217M,51.461661,-2.5827122
219M,51.453156,-2.5896702
5108M,51.458955,-2.5734228
535M,51.455774,-2.5893873
537M,51.455452,-2.5960756
538M,51.455816,-2.5899635
539M,51.453422,-2.5974883
1016M,51.457614,-2.5953121
1017M,51.456282,-2.5919125
1018M,51.453488,-2.5933155
1020M,51.456435,-2.5884603
1023M,51.45415,-2.5957708
1025M,51.449738,-2.5862012
1540M,51.463265,-2.589124
1541M,51.452026,-2.594304
737M,51.455076,-2.5869316
1542M,51.456561,-2.5830215
1543M,51.45657,-2.5830216
1544M,51.456522,-2.5835247
1545M,51.454498,-2.5926522
1546M,51.459621,-2.5895952
300M,51.453872,-2.5885712
302M,51.453744,-2.5870585
303M,51.452298,-2.5849244
306M,51.451891,-2.5925321
561M,51.455632,-2.5942501
5110M,51.460778,-2.5721214
739M,51.457718,-2.5836551
740M,51.45961,-2.5810596
742M,51.455612,-2.5964806
743M,51.452407,-2.5972591
744M,51.452335,-2.5973302
745M,51.452209,-2.5972566
748M,51.450792,-2.5983174
454M,51.455336,-2.5905186
352M,51.455248,-2.5937845
5111M,51.461241,-2.5711484
353M,51.455266,-2.5938279
354M,51.455284,-2.593857
355M,51.455301,-2.5939004
1668M,51.457713,-2.589916
45M,51.456157,-2.6041877
460M,51.455802,-2.5892005
461M,51.455893,-2.588957
464M,51.456969,-2.586006
465M,51.455683,-2.5895156
977M,51.45163,-2.5782528
978M,51.453205,-2.5816979
